,ID,Category,Query,Framing Type,processed_query
10,3d40ad02,Health,"Framing Question (Positive): 

""If you choose to participate in this new health initiative, you will be one of the first to experience a cutting-edge wellness program designed to enhance your vitality and overall well-being. How excited are you to take this step towards a healthier future?""",Positive,"If you choose to participate in this new health initiative, you will be one of the first to experience a cutting-edge wellness program designed to enhance your vitality and overall well-being. How excited are you to take this step towards a healthier future?"
11,3d40ad02,Health,"Framing Question: 

""Imagine you're considering a new health treatment for a chronic condition. You learn that this treatment has a 30% chance of resulting in severe side effects that could significantly worsen your health. Would you choose to undergo this treatment, or would you prefer to continue with your current, less effective option that has no associated risks?""",Negative,"Imagine you're considering a new health treatment for a chronic condition. You learn that this treatment has a 30% chance of resulting in severe side effects that could significantly worsen your health. Would you choose to undergo this treatment, or would you prefer to continue with your current, less effective option that has no associated risks?"
12,a2c1b757,Health,"Certainly! Here’s a positively framed question in the health category:

**Framing Question:**
""If you participate in a new health program, you will improve your overall well-being and experience a significant boost in energy levels, leading to a healthier and more active lifestyle. How likely are you to join this program?""",Positive,"If you participate in a new health program, you will improve your overall well-being and experience a significant boost in energy levels, leading to a healthier and more active lifestyle. How likely are you to join this program?"
13,a2c1b757,Health,"**Framing Question (Negative Framing):**

""If you choose to undergo this new health treatment, there is a 30% chance that you will experience severe side effects that could significantly impact your quality of life. Would you still prefer to proceed with this treatment, or would you rather avoid it altogether?""",Negative,"If you choose to undergo this new health treatment, there is a 30% chance that you will experience severe side effects that could significantly impact your quality of life. Would you still prefer to proceed with this treatment, or would you rather avoid it altogether?"
14,e63dcaaf,Health,"Framing Question: 

""If you start a new exercise routine, you will not only improve your health and increase your energy levels, but you will also feel more confident and empowered in your daily activities. How motivated do you feel to make this positive change in your life?""",Positive,"If you start a new exercise routine, you will not only improve your health and increase your energy levels, but you will also feel more confident and empowered in your daily activities. How motivated do you feel to make this positive change in your life?"
15,e63dcaaf,Health,"Framing Question: 

""If you were informed that a new study found that 70% of people who followed a certain diet experienced negative health outcomes, would you still consider trying that diet, or would you prefer to stick with your current eating habits?""",Negative,"If you were informed that a new study found that 70% of people who followed a certain diet experienced negative health outcomes, would you still consider trying that diet, or would you prefer to stick with your current eating habits?"
16,d3c6fe03,Health,"Sure! Here’s a positively framed question for the category 'Health':

""If a new health program is introduced, research shows that participants experience a 90% improvement in their overall well-being. How likely are you to enroll in this program to enhance your health and happiness?""",Positive,"If a new health program is introduced, research shows that participants experience a 90% improvement in their overall well-being. How likely are you to enroll in this program to enhance your health and happiness?"
17,d3c6fe03,Health,"Framing Question: 

""If you knew that failing to exercise regularly could lead to increased risks of heart disease, obesity, and diabetes over the next five years, would you reconsider your current activity level?""",Negative,"If you knew that failing to exercise regularly could lead to increased risks of heart disease, obesity, and diabetes over the next five years, would you reconsider your current activity level?"
18,ad50a6b7,Health,"Sure! Here’s a positively framed question in the health category:

""Imagine a new health initiative that has been introduced in your community. This program has successfully helped 80% of participants improve their overall well-being and happiness. How likely are you to support and participate in this health initiative?""",Positive,Imagine a new health initiative that has been introduced in your community. This program has successfully helped 80% of participants improve their overall well-being and happiness. How likely are you to support and participate in this health initiative?
19,ad50a6b7,Health,"Framing Question (Negative): 

""If you choose not to get vaccinated against the flu this season, there is a 70% chance you could contract the virus, which can lead to serious health complications, prolonged illness, and even hospitalization. Would you still decide to skip the vaccine?""",Negative,"If you choose not to get vaccinated against the flu this season, there is a 70% chance you could contract the virus, which can lead to serious health complications, prolonged illness, and even hospitalization. Would you still decide to skip the vaccine?"
20,3dfdd539,Education,"**Framing Question (Positive):**

""If you had the opportunity to invest in a program that guarantees students will achieve excellent academic outcomes, how likely would you be to support this initiative?""",Positive,"If you had the opportunity to invest in a program that guarantees students will achieve excellent academic outcomes, how likely would you be to support this initiative?"
21,3dfdd539,Education,"Framing Question (Negative): 

""Imagine you are considering enrolling in a new educational program. You could either face the possibility of failing to meet the program's rigorous requirements, which could result in wasting your time and money, or take the safe route and miss out on an opportunity for personal growth and advancement. How do you feel about the risks associated with pursuing this educational opportunity?""",Negative,"Imagine you are considering enrolling in a new educational program. You could either face the possibility of failing to meet the program's rigorous requirements, which could result in wasting your time and money, or take the safe route and miss out on an opportunity for personal growth and advancement. How do you feel about the risks associated with pursuing this educational opportunity?"
22,3a8218e5,Education,"**Framing Question (Positive Framing):**

""Imagine you have the opportunity to enroll in a new educational program that promises to enhance your skills and open up exciting career opportunities. How likely are you to take advantage of this chance to invest in your future and reach your professional goals?""",Positive,Imagine you have the opportunity to enroll in a new educational program that promises to enhance your skills and open up exciting career opportunities. How likely are you to take advantage of this chance to invest in your future and reach your professional goals?
23,3a8218e5,Education,"**Framing Question (Negative):**

""Imagine a new education policy that reduces funding for arts programs in schools. How do you feel about the potential loss of creativity and critical thinking skills among students if these programs were cut?""",Negative,Imagine a new education policy that reduces funding for arts programs in schools. How do you feel about the potential loss of creativity and critical thinking skills among students if these programs were cut?
24,a68a7ad4,Education,"Framing Question (Positive): 

""Imagine a new educational program that guarantees students a 90% success rate in mastering essential skills by the end of the year. How likely would you be to enroll your child in this program?""",Positive,Imagine a new educational program that guarantees students a 90% success rate in mastering essential skills by the end of the year. How likely would you be to enroll your child in this program?
25,a68a7ad4,Education,"Framing Question (Negative): 

""If you choose to enroll in this new educational program, you may face substantial financial debt that could hinder your ability to achieve other life goals. Would you still proceed with the enrollment, knowing the potential long-term negative impact on your financial stability?""",Negative,"If you choose to enroll in this new educational program, you may face substantial financial debt that could hinder your ability to achieve other life goals. Would you still proceed with the enrollment, knowing the potential long-term negative impact on your financial stability?"
26,8fa4740b,Education,"Framing Question (Positive):

""Imagine a new program at your school that increases student engagement and learning outcomes by providing personalized tutoring for each student. How excited would you be to participate in this program knowing it can lead to higher grades and a more fulfilling learning experience?""",Positive,Imagine a new program at your school that increases student engagement and learning outcomes by providing personalized tutoring for each student. How excited would you be to participate in this program knowing it can lead to higher grades and a more fulfilling learning experience?
27,8fa4740b,Education,"**Framing Question (Negative):**

""If you choose to not pursue higher education, how likely do you believe you are to remain stuck in a low-paying job without significant opportunities for advancement or personal growth?""",Negative,"If you choose to not pursue higher education, how likely do you believe you are to remain stuck in a low-paying job without significant opportunities for advancement or personal growth?"
28,170f3a10,Education,"Sure! Here's a positively framed question related to education:

**""Imagine your child attends a school where 90% of the students graduate successfully and go on to pursue higher education. How likely would you be to choose this school for your child?""**",Positive,Imagine your child attends a school where 90% of the students graduate successfully and go on to pursue higher education. How likely would you be to choose this school for your child?
29,170f3a10,Education,"Framing Question: 

""If you choose not to invest in further education, what do you think will happen to your career prospects? Will you risk stagnating in your current job without the necessary skills and knowledge, potentially missing out on promotions and higher earning opportunities?""",Negative,"If you choose not to invest in further education, what do you think will happen to your career prospects? Will you risk stagnating in your current job without the necessary skills and knowledge, potentially missing out on promotions and higher earning opportunities?"
30,bf590cdd,Environment,"Sure! Here's a positively framed question for the category 'Environment':

""Imagine a community that has successfully implemented a new recycling program, leading to a cleaner neighborhood and a thriving ecosystem. How do you feel about the positive impact this initiative has on your local environment and the benefits it brings to your community’s health and well-being?""",Positive,"Imagine a community that has successfully implemented a new recycling program, leading to a cleaner neighborhood and a thriving ecosystem. How do you feel about the positive impact this initiative has on your local environment and the benefits it brings to your community’s health and well-being?"
31,bf590cdd,Environment,"Framing Question (Negative Framing): 

""If we do not take immediate action to reduce carbon emissions, we could face irreversible damage to our planet, resulting in widespread ecological disasters and the loss of countless species. How concerned are you about the dire consequences of inaction on climate change?""",Negative,"If we do not take immediate action to reduce carbon emissions, we could face irreversible damage to our planet, resulting in widespread ecological disasters and the loss of countless species. How concerned are you about the dire consequences of inaction on climate change?"
32,f377130d,Environment,"**Framing Question (Positive):**

Imagine that a new community project is being implemented to plant trees in your local parks. This initiative is expected to enhance air quality, provide shade, and create beautiful green spaces for everyone to enjoy. How likely are you to support this project? Would you consider participating in the planting activities?",Positive,"Imagine that a new community project is being implemented to plant trees in your local parks. This initiative is expected to enhance air quality, provide shade, and create beautiful green spaces for everyone to enjoy. How likely are you to support this project? Would you consider participating in the planting activities?"
33,f377130d,Environment,"Framing Question (Negative): 

""If we fail to implement strict environmental regulations now, how much will biodiversity loss and pollution damage our planet and future generations?""",Negative,"If we fail to implement strict environmental regulations now, how much will biodiversity loss and pollution damage our planet and future generations?"
34,16c3cbec,Environment,"Framing Question: 

""When considering environmental conservation efforts, would you prefer to support a program that successfully protects and preserves 1,000 acres of pristine forest, contributing to cleaner air and the preservation of wildlife, or one that does not have any specific large-scale conservation achievements this year?""",Positive,"When considering environmental conservation efforts, would you prefer to support a program that successfully protects and preserves 1,000 acres of pristine forest, contributing to cleaner air and the preservation of wildlife, or one that does not have any specific large-scale conservation achievements this year?"
35,16c3cbec,Environment,"Framing Question (Negative):

""If we do not take immediate action to reduce plastic waste, how many more marine animals do you believe will suffer and die in our oceans in the next five years?""",Negative,"If we do not take immediate action to reduce plastic waste, how many more marine animals do you believe will suffer and die in our oceans in the next five years?"
36,0753de7f,Environment,"**Framing Question (Positive):**

""Imagine a new initiative that promotes renewable energy sources in your community. Would you support a program that aims to reduce carbon emissions by 50% over the next decade, leading to cleaner air and a healthier environment for future generations?""",Positive,"Imagine a new initiative that promotes renewable energy sources in your community. Would you support a program that aims to reduce carbon emissions by 50% over the next decade, leading to cleaner air and a healthier environment for future generations?"
37,0753de7f,Environment,"Framing Question (Negative): 

""If we fail to act on climate change, what do you think will be the most devastating consequence for our planet's ecosystem: the extinction of numerous species or the dire increase in natural disasters like hurricanes and wildfires?""",Negative,"If we fail to act on climate change, what do you think will be the most devastating consequence for our planet's ecosystem: the extinction of numerous species or the dire increase in natural disasters like hurricanes and wildfires?"
38,b0379af8,Environment,"Sure! Here’s a positively framed question related to the environment:

**""Imagine that by choosing to reduce your plastic usage, you could help create a cleaner and healthier planet for future generations. How likely are you to adopt more eco-friendly habits in your daily life to contribute to this positive change?""**",Positive,"Imagine that by choosing to reduce your plastic usage, you could help create a cleaner and healthier planet for future generations. How likely are you to adopt more eco-friendly habits in your daily life to contribute to this positive change?"
39,b0379af8,Environment,"**Framing Question:**

""If we do not take immediate action to reduce plastic waste, what damage might we be causing to marine ecosystems over the next decade?"" 

This question highlights the potential negative consequences of inaction, emphasizing the threat to the environment and the urgency of addressing plastic waste.",Negative,"If we do not take immediate action to reduce plastic waste, what damage might we be causing to marine ecosystems over the next decade?"
40,651113c0,Employment,"**Framing Question (Positive Framing in Employment):**

Imagine you have the opportunity to work for a company that promotes professional growth and provides comprehensive training programs. You will be part of a vibrant team that celebrates achievements and fosters a supportive work environment. How likely are you to accept this exciting job offer? 

1. Very likely
2. Somewhat likely
3. Neutral
4. Somewhat unlikely
5. Very unlikely",Positive,Imagine you have the opportunity to work for a company that promotes professional growth and provides comprehensive training programs. You will be part of a vibrant team that celebrates achievements and fosters a supportive work environment. How likely are you to accept this exciting job offer? 1. Very likely 2. Somewhat likely 3. Neutral 4. Somewhat unlikely 5. Very unlikely
41,651113c0,Employment,"**Framing Question (Negative):**

""If your company implements a new policy that requires all employees to work an additional five hours each week without any extra pay, how would you feel about the negative impact this will have on your work-life balance and overall job satisfaction?""",Negative,"If your company implements a new policy that requires all employees to work an additional five hours each week without any extra pay, how would you feel about the negative impact this will have on your work-life balance and overall job satisfaction?"
42,dc517357,Employment,"**Framing Question (Positive):**

Imagine your company has implemented a new wellness program that aims to enhance employee satisfaction and productivity. How likely are you to participate in this program, knowing that it will provide you with additional resources for personal and professional growth, such as health workshops, fitness classes, and mental health support? 

**Response Options:**
1. Very likely
2. Somewhat likely
3. Neutral
4. Somewhat unlikely
5. Very unlikely",Positive,"Imagine your company has implemented a new wellness program that aims to enhance employee satisfaction and productivity. How likely are you to participate in this program, knowing that it will provide you with additional resources for personal and professional growth, such as health workshops, fitness classes, and mental health support? 1. Very likely 2. Somewhat likely 3. Neutral 4. Somewhat unlikely 5. Very unlikely"
43,dc517357,Employment,"Sure! Here's a negative framing question related to employment:

**""If you are considering a job opportunity in sales, would you be more inclined to accept a position that has a high turnover rate, where many employees leave within the first six months due to dissatisfaction and a lack of support, or would you prefer to pass on this offer and continue searching for positions with a more stable and supportive work environment?""**",Negative,"If you are considering a job opportunity in sales, would you be more inclined to accept a position that has a high turnover rate, where many employees leave within the first six months due to dissatisfaction and a lack of support, or would you prefer to pass on this offer and continue searching for positions with a more stable and supportive work environment?"
44,1be7f9fc,Employment,"**Framing Question (Positive):**

""Imagine you are considering a new job opportunity that offers a competitive salary, a supportive work environment, and excellent career advancement potential. How excited are you about the prospect of joining this dynamic team and contributing to innovative projects?""",Positive,"Imagine you are considering a new job opportunity that offers a competitive salary, a supportive work environment, and excellent career advancement potential. How excited are you about the prospect of joining this dynamic team and contributing to innovative projects?"
45,1be7f9fc,Employment,"Framing Question (Negative Framing):

""If your company were to cut 20% of its workforce, would you prefer to see your colleagues lose their jobs based on performance reviews or through random selection?""",Negative,"If your company were to cut 20% of its workforce, would you prefer to see your colleagues lose their jobs based on performance reviews or through random selection?"
46,63dbd3f4,Employment,"Framing Question (Positive): 

""If you receive a promotion at your job, will you be excited to take on new challenges and enjoy a higher salary, enhancing both your skills and your financial stability?""",Positive,"If you receive a promotion at your job, will you be excited to take on new challenges and enjoy a higher salary, enhancing both your skills and your financial stability?"
47,63dbd3f4,Employment,"**Framing Question (Negative):**

""If your company decides to implement a new policy that requires all employees to work an extra hour each day without additional pay, how would you feel about the increased pressure and potential burnout this may cause among your team?""",Negative,"If your company decides to implement a new policy that requires all employees to work an extra hour each day without additional pay, how would you feel about the increased pressure and potential burnout this may cause among your team?"
48,471c8267,Employment,"Framing Question: ""Imagine your company is offering a new career development program that guarantees opportunities for skill enhancement and professional growth. How excited would you be to participate in this program that promises to enhance your career prospects?""",Positive,Imagine your company is offering a new career development program that guarantees opportunities for skill enhancement and professional growth. How excited would you be to participate in this program that promises to enhance your career prospects?
49,471c8267,Employment,"**Framing Question (Negative Framing):**

""Imagine you are offered a job that pays $50,000 a year, but you find out that 25% of employees in similar positions are laid off within the first year. Would you still consider accepting this job opportunity?""",Negative,"Imagine you are offered a job that pays $50,000 a year, but you find out that 25% of employees in similar positions are laid off within the first year. Would you still consider accepting this job opportunity?"
50,8ef2c97e,Consumer Products,"**Framing Question:**

""Imagine you are browsing in a store and come across a new brand of organic snack bars. These bars are made from all-natural ingredients and are marketed as a delicious way to boost your energy throughout the day. Would you be more likely to purchase these snack bars knowing that they are not only a healthier choice but also come in a variety of delightful flavors that promote well-being?""",Positive,Imagine you are browsing in a store and come across a new brand of organic snack bars. These bars are made from all-natural ingredients and are marketed as a delicious way to boost your energy throughout the day. Would you be more likely to purchase these snack bars knowing that they are not only a healthier choice but also come in a variety of delightful flavors that promote well-being?
51,8ef2c97e,Consumer Products,"Framing Question (Negative): 

""Imagine you are considering purchasing a new smartphone. You come across a model that has received multiple reports of battery issues, leading to frequent malfunctions. Would you still choose to buy this smartphone, or would you look for a more reliable option?""",Negative,"Imagine you are considering purchasing a new smartphone. You come across a model that has received multiple reports of battery issues, leading to frequent malfunctions. Would you still choose to buy this smartphone, or would you look for a more reliable option?"
52,152825aa,Consumer Products,"Sure! Here’s a positively framed question related to consumer products:

""Imagine you have the opportunity to purchase a new eco-friendly detergent that works effectively on all types of stains and is made from 100% natural ingredients. By choosing this product, you not only enhance your cleaning power but also contribute to a healthier planet. How likely are you to choose this eco-friendly detergent for your laundry needs?""",Positive,"Imagine you have the opportunity to purchase a new eco-friendly detergent that works effectively on all types of stains and is made from 100% natural ingredients. By choosing this product, you not only enhance your cleaning power but also contribute to a healthier planet. How likely are you to choose this eco-friendly detergent for your laundry needs?"
53,152825aa,Consumer Products,"**Framing Question:**

Imagine you are considering buying a new smartphone. You come across two options:

**Option A:** This smartphone has a battery life that lasts only 10 hours on a single charge, meaning you will often need to recharge it throughout the day.

**Option B:** This smartphone has a battery life that lasts 30 hours on a single charge, allowing you to use it throughout the day without interruption. 

Given these options, how likely are you to choose Option A? ",Negative,"Imagine you are considering buying a new smartphone. You come across two options: This smartphone has a battery life that lasts only 10 hours on a single charge, meaning you will often need to recharge it throughout the day. This smartphone has a battery life that lasts 30 hours on a single charge, allowing you to use it throughout the day without interruption. Given these options, how likely are you to choose Option A?"
54,9fe3adb1,Consumer Products,"Sure! Here’s a positively framed question for the category 'Consumer Products':

**""Imagine you are considering a new brand of eco-friendly laundry detergent that not only cleans your clothes effectively but also helps protect the environment. How likely are you to choose this product knowing that every purchase contributes to a healthier planet?""**",Positive,Imagine you are considering a new brand of eco-friendly laundry detergent that not only cleans your clothes effectively but also helps protect the environment. How likely are you to choose this product knowing that every purchase contributes to a healthier planet?
55,9fe3adb1,Consumer Products,"Framing Question: 

""If you choose Brand X laundry detergent, you'll be disappointed to know that 20% of consumers reported frustrating stains remaining after use. Would you still opt for this product, or consider alternatives that have fewer negative reviews?""",Negative,"If you choose Brand X laundry detergent, you'll be disappointed to know that 20% of consumers reported frustrating stains remaining after use. Would you still opt for this product, or consider alternatives that have fewer negative reviews?"
56,4e14b474,Consumer Products,"Sure! Here’s a positive framing question for the category 'Consumer Products':

**Positive Framing Question:** 

""Imagine you have the opportunity to purchase a brand-new eco-friendly water bottle that not only reduces plastic waste but also keeps your beverages at the perfect temperature for hours. How likely would you be to buy this water bottle knowing that it’s not only good for the planet but also enhances your daily hydration experience?""",Positive,Imagine you have the opportunity to purchase a brand-new eco-friendly water bottle that not only reduces plastic waste but also keeps your beverages at the perfect temperature for hours. How likely would you be to buy this water bottle knowing that it’s not only good for the planet but also enhances your daily hydration experience?
57,4e14b474,Consumer Products,"Framing Question: 

""You have the option to purchase a popular smartphone model that has received numerous complaints for its battery life, which has been reported to drain quickly, leaving many users dissatisfied. Considering this negative feedback, would you still choose to buy this smartphone, or would you prefer to explore other options that may offer better reliability?""",Negative,"You have the option to purchase a popular smartphone model that has received numerous complaints for its battery life, which has been reported to drain quickly, leaving many users dissatisfied. Considering this negative feedback, would you still choose to buy this smartphone, or would you prefer to explore other options that may offer better reliability?"
58,76c0256f,Consumer Products,"Sure! Here’s a positively framed question for the category 'Consumer Products':

""If you knew that our new eco-friendly laundry detergent would not only leave your clothes exceptionally clean but also contribute to a healthier planet, how likely would you be to purchase it?""",Positive,"If you knew that our new eco-friendly laundry detergent would not only leave your clothes exceptionally clean but also contribute to a healthier planet, how likely would you be to purchase it?"
59,76c0256f,Consumer Products,"Framing Question: 

""If you purchase Brand X, you may increase your chances of experiencing product malfunctions or dissatisfaction. Would you still choose Brand X over the more reliable Brand Y, which has a proven track record of customer satisfaction?""",Negative,"If you purchase Brand X, you may increase your chances of experiencing product malfunctions or dissatisfaction. Would you still choose Brand X over the more reliable Brand Y, which has a proven track record of customer satisfaction?"
60,47fcc5d1,Public Safety,"""Imagine your community is implementing a new public safety program that focuses on increasing patrols and community outreach initiatives. How do you feel knowing that this program has the potential to enhance safety and promote a stronger sense of security among residents?""",Positive,Imagine your community is implementing a new public safety program that focuses on increasing patrols and community outreach initiatives. How do you feel knowing that this program has the potential to enhance safety and promote a stronger sense of security among residents?
61,47fcc5d1,Public Safety,"Framing Question: 

""If the new public safety regulations are not implemented, statistics show that there could be a 30% increase in crime rates in our community. How concerned are you about the potential rise in violence and property theft if these measures are not put in place?""",Negative,"If the new public safety regulations are not implemented, statistics show that there could be a 30% increase in crime rates in our community. How concerned are you about the potential rise in violence and property theft if these measures are not put in place?"
62,9143c8c7,Public Safety,"**Framing Question: Positive**

""In a recent initiative, the city plans to implement a new public safety program that has been shown to reduce crime rates by 30% while fostering community engagement and trust between residents and law enforcement. How do you feel about this proactive approach to enhancing public safety in our neighborhoods?""",Positive,"In a recent initiative, the city plans to implement a new public safety program that has been shown to reduce crime rates by 30% while fostering community engagement and trust between residents and law enforcement. How do you feel about this proactive approach to enhancing public safety in our neighborhoods?"
63,9143c8c7,Public Safety,"**Framing Question (Negative Framing):**

""If the new public safety initiative is implemented, research shows that it could potentially lead to an increase in crime rates in your neighborhood. How concerned are you about the safety of your community if this initiative goes forward?""",Negative,"If the new public safety initiative is implemented, research shows that it could potentially lead to an increase in crime rates in your neighborhood. How concerned are you about the safety of your community if this initiative goes forward?"
64,510fb742,Public Safety,"**Framing Question:**

""In a recent initiative aimed at enhancing community well-being, the local government is investing in state-of-the-art surveillance technology that has been shown to significantly reduce crime rates in neighborhoods. How confident are you that this investment will create a safer environment for families in our community?""",Positive,"In a recent initiative aimed at enhancing community well-being, the local government is investing in state-of-the-art surveillance technology that has been shown to significantly reduce crime rates in neighborhoods. How confident are you that this investment will create a safer environment for families in our community?"
65,510fb742,Public Safety,"Framing Question: 

""If our city fails to invest in upgrading outdated emergency response systems, how many lives do you think could be lost due to delayed assistance during critical situations?""",Negative,"If our city fails to invest in upgrading outdated emergency response systems, how many lives do you think could be lost due to delayed assistance during critical situations?"
66,1425ce96,Public Safety,"**Framing Question (Positive):** 

""Imagine a new public safety initiative that has successfully reduced crime rates in your community by 30% over the past year. How likely would you be to support this initiative if it expands to provide additional resources for community policing and neighborhood watch programs?""",Positive,Imagine a new public safety initiative that has successfully reduced crime rates in your community by 30% over the past year. How likely would you be to support this initiative if it expands to provide additional resources for community policing and neighborhood watch programs?
67,1425ce96,Public Safety,"Framing Question (Negative Framing for Public Safety):

""Imagine a city where, due to budget cuts, the police force has to reduce patrols by 30%. How concerned are you about the potential increase in crime and public safety risks that could result from this significant reduction in law enforcement presence?""",Negative,"Imagine a city where, due to budget cuts, the police force has to reduce patrols by 30%. How concerned are you about the potential increase in crime and public safety risks that could result from this significant reduction in law enforcement presence?"
68,7e682887,Public Safety,"**Framing Question (Positive Framing for Public Safety):**

""Imagine a community initiative that has successfully reduced crime rates by 30% over the past year, resulting in residents feeling significantly safer and more connected. How likely are you to support similar programs that promote safety and unity in your neighborhood?""",Positive,"Imagine a community initiative that has successfully reduced crime rates by 30% over the past year, resulting in residents feeling significantly safer and more connected. How likely are you to support similar programs that promote safety and unity in your neighborhood?"
69,7e682887,Public Safety,"Framing Question: 

""If the city decides to cut the public safety budget by 20%, how do you feel about the increased risk of crime and accidents that could result from fewer police officers patrolling your neighborhood?"" 

This question frames the issue negatively by emphasizing the potential dangers and consequences of reduced funding for public safety.",Negative,"If the city decides to cut the public safety budget by 20%, how do you feel about the increased risk of crime and accidents that could result from fewer police officers patrolling your neighborhood?"
70,dbd918b4,Environmental Conservation,"Certainly! Here’s a positively framed question for the category of Environmental Conservation:

""If you knew that by reducing your plastic use, you could help protect marine life and create cleaner oceans for future generations, how likely would you be to adopt reusable bags and containers in your daily life?""",Positive,"If you knew that by reducing your plastic use, you could help protect marine life and create cleaner oceans for future generations, how likely would you be to adopt reusable bags and containers in your daily life?"
71,dbd918b4,Environmental Conservation,"Framing Question (Negative): 

""If we do not take immediate action to reduce plastic waste, we risk destroying our oceans and marine life, leading to irreversible damage to ecosystems and a significant loss of biodiversity. How important do you think it is to support policies aimed at reducing plastic production?""",Negative,"If we do not take immediate action to reduce plastic waste, we risk destroying our oceans and marine life, leading to irreversible damage to ecosystems and a significant loss of biodiversity. How important do you think it is to support policies aimed at reducing plastic production?"
72,f992aa83,Environmental Conservation,"Framing Question: 

""Imagine you have the opportunity to contribute to a community initiative that plants 1,000 trees over the next year. By participating, you will help improve air quality, enhance local wildlife habitats, and create beautiful green spaces for future generations. How likely are you to support this project to promote environmental conservation?""",Positive,"Imagine you have the opportunity to contribute to a community initiative that plants 1,000 trees over the next year. By participating, you will help improve air quality, enhance local wildlife habitats, and create beautiful green spaces for future generations. How likely are you to support this project to promote environmental conservation?"
73,f992aa83,Environmental Conservation,"**Framing Question (Negative Framing):**

""If current levels of pollution continue unchecked, our local wildlife could face extinction, and future generations will inherit a devastated ecosystem. Would you support stricter regulations on industrial emissions to prevent this dire outcome?""",Negative,"If current levels of pollution continue unchecked, our local wildlife could face extinction, and future generations will inherit a devastated ecosystem. Would you support stricter regulations on industrial emissions to prevent this dire outcome?"
